                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.79392,                0.39852,                0.91847,                0.99348,                0.98861,                0.99484,                0.80946,                0.81623,                0.31833,                0.93444,                0.00604,                0.00604,                0.00604
                     82,                0.78867,                0.39617,                0.91852,                0.99707,                 0.9949,                0.99465,                0.80849,                0.81701,                0.30876,                 0.9326,              0.0059905,              0.0059905,              0.0059905
                     83,                 0.7911,                0.39161,                 0.9176,                0.99593,                0.99565,                 0.9943,                0.81008,                0.79845,                0.30071,                0.92959,               0.005941,               0.005941,               0.005941
                     84,                0.77603,                0.39352,                 0.9157,                0.99157,                0.99257,                0.99448,                0.81405,                0.80944,                0.30742,                0.93327,              0.0058915,              0.0058915,              0.0058915
                     85,                0.78629,                0.39367,                0.91617,                0.99506,                0.99417,                0.99489,                0.80795,                0.81157,                0.30418,                0.93415,               0.005842,               0.005842,               0.005842
                     86,                0.78222,                0.39501,                0.91421,                0.99281,                0.99244,                0.99463,                0.81219,                0.81209,                0.30911,                0.93289,              0.0057925,              0.0057925,              0.0057925
                     87,                0.78343,                0.39503,                0.91594,                0.99249,                 0.9981,                0.99491,                0.81046,                0.81781,                0.30603,                0.93345,               0.005743,               0.005743,               0.005743
                     88,                 0.7816,                0.39046,                0.91869,                0.99432,                0.99238,                0.99394,                0.80965,                0.81742,                0.30969,                0.93437,              0.0056935,              0.0056935,              0.0056935
                     89,                0.78155,                0.39458,                0.91674,                0.99506,                0.99259,                0.99495,                0.80964,                0.81594,                0.30277,                 0.9325,               0.005644,               0.005644,               0.005644
                     90,                0.77849,                0.38957,                0.91659,                0.99119,                0.99162,                0.99457,                0.81656,                0.79928,                0.29976,                0.92934,              0.0055945,              0.0055945,              0.0055945
                     91,                0.77754,                0.39086,                0.91362,                0.98813,                0.99302,                0.99469,                0.81482,                0.80896,                0.30402,                0.93097,               0.005545,               0.005545,               0.005545
                     92,                0.76789,                0.39024,                 0.9072,                0.99497,                0.99395,                0.99485,                0.80589,                0.80928,                 0.3046,                0.93149,              0.0054955,              0.0054955,              0.0054955
                     93,                0.76676,                0.38479,                0.91277,                0.99367,                0.98992,                0.99485,                0.80984,                0.81487,                0.30249,                0.93777,               0.005446,               0.005446,               0.005446
                     94,                0.76866,                0.38349,                0.91207,                0.99272,                  0.992,                0.99458,                0.81326,                0.79682,                0.29631,                0.92913,              0.0053965,              0.0053965,              0.0053965
                     95,                0.76027,                0.38056,                0.90791,                0.99188,                0.99592,                0.99487,                0.81657,                0.78848,                0.29419,                0.92545,               0.005347,               0.005347,               0.005347
                     96,                0.76477,                0.38421,                0.91089,                0.99135,                0.99496,                0.99487,                0.80684,                0.80764,                0.29892,                0.93286,              0.0052975,              0.0052975,              0.0052975
                     97,                0.75682,                 0.3796,                0.90515,                0.99322,                 0.9937,                0.99473,                0.80598,                0.80696,                0.30031,                0.93009,               0.005248,               0.005248,               0.005248
                     98,                0.75966,                 0.3836,                0.91278,                0.99461,                0.99244,                0.99466,                0.80907,                0.81158,                 0.3017,                0.93532,              0.0051985,              0.0051985,              0.0051985
                     99,                0.75306,                   0.38,                0.90395,                  0.998,                0.99244,                 0.9948,                0.81525,                0.80199,                0.29832,                0.93185,               0.005149,               0.005149,               0.005149
                    100,                0.75459,                 0.3792,                0.90833,                0.99585,                0.99244,                0.99473,                0.81655,                0.79577,                0.29985,                 0.9313,              0.0050995,              0.0050995,              0.0050995
                    101,                0.75563,                0.37679,                0.90458,                 0.9939,                 0.9937,                0.99446,                0.80921,                0.80875,                0.29823,                0.93256,                0.00505,                0.00505,                0.00505
                    102,                0.74845,                0.37757,                0.90547,                0.99743,                0.99369,                0.99473,                0.80625,                0.81547,                0.29853,                 0.9383,              0.0050005,              0.0050005,              0.0050005
                    103,                0.74842,                0.37316,                0.90312,                0.99018,                0.99302,                0.99356,                0.81304,                 0.8003,                0.29766,                0.92693,               0.004951,               0.004951,               0.004951
                    104,                0.74323,                 0.3756,                 0.9019,                0.99116,                0.99607,                0.99487,                0.81167,                0.80246,                 0.2914,                0.92978,              0.0049015,              0.0049015,              0.0049015
                    105,                0.74737,                0.37348,                0.90282,                0.99553,                0.99053,                 0.9949,                0.81559,                0.80516,                0.29272,                0.92967,               0.004852,               0.004852,               0.004852
                    106,                0.73775,                0.37187,                0.90369,                0.99411,                0.99496,                0.99445,                0.81451,                0.80314,                0.29232,                0.93256,              0.0048025,              0.0048025,              0.0048025
                    107,                0.74496,                0.37251,                0.90321,                0.99364,                0.99206,                0.99445,                0.81289,                0.79742,                0.29426,                0.93106,               0.004753,               0.004753,               0.004753
                    108,                0.74295,                0.36439,                 0.9033,                0.99205,                0.99237,                 0.9944,                0.81449,                0.79773,                0.29539,                 0.9287,              0.0047035,              0.0047035,              0.0047035
                    109,                0.73121,                0.36509,                0.89771,                0.99611,                0.99341,                0.99442,                0.81195,                0.79786,                0.29393,                0.92951,               0.004654,               0.004654,               0.004654
                    110,                0.72187,                0.36008,                0.89605,                0.99178,                0.99459,                0.99456,                0.81557,                0.80298,                0.29106,                0.93105,              0.0046045,              0.0046045,              0.0046045
                    111,                0.72993,                 0.3666,                0.89661,                0.99179,                0.99655,                 0.9948,                0.81515,                0.80067,                0.29263,                0.92998,               0.004555,               0.004555,               0.004555
                    112,                0.74154,                0.37035,                0.90452,                0.99086,                0.99588,                0.99496,                0.81577,                0.79457,                0.28923,                0.92723,              0.0045055,              0.0045055,              0.0045055
                    113,                 0.7252,                0.36397,                 0.8952,                0.99244,                0.99231,                0.99463,                0.81608,                0.79383,                0.29453,                0.92817,               0.004456,               0.004456,               0.004456
                    114,                0.72653,                0.36319,                0.89561,                0.99579,                0.99363,                0.99463,                 0.8173,                0.79492,                0.29003,                0.92682,              0.0044065,              0.0044065,              0.0044065
                    115,                0.72172,                 0.3612,                0.89375,                0.99497,                0.99511,                0.99494,                0.81629,                0.80252,                0.29299,                0.93391,               0.004357,               0.004357,               0.004357
                    116,                0.71745,                0.36314,                0.89691,                  0.997,                0.99106,                0.99445,                0.81925,                 0.7917,                0.29237,                0.93052,              0.0043075,              0.0043075,              0.0043075
                    117,                0.71662,                 0.3624,                0.89607,                0.99662,                0.99348,                0.99442,                0.81643,                0.79391,                0.28922,                0.93031,               0.004258,               0.004258,               0.004258
                    118,                0.72654,                0.35866,                 0.8994,                 0.9959,                0.99244,                 0.9946,                0.81612,                0.79172,                0.28904,                0.92871,              0.0042085,              0.0042085,              0.0042085
                    119,                0.70575,                 0.3539,                0.89146,                0.99622,                 0.9945,                 0.9948,                0.81828,                0.79506,                  0.289,                0.92858,               0.004159,               0.004159,               0.004159
                    120,                0.71586,                0.35585,                0.89467,                0.99415,                0.99496,                0.99434,                0.81603,                0.79717,                0.29276,                0.93226,              0.0041095,              0.0041095,              0.0041095
                    121,                0.70783,                0.35304,                0.89248,                0.99597,                0.99411,                0.99465,                0.82047,                0.78178,                0.28246,                 0.9231,                0.00406,                0.00406,                0.00406
                    122,                0.70819,                0.35076,                0.89407,                0.99407,                 0.9937,                 0.9946,                0.81928,                0.78396,                0.28669,                0.92333,              0.0040105,              0.0040105,              0.0040105
                    123,                0.72165,                0.35824,                0.89442,                0.99331,                 0.9937,                0.99454,                0.82167,                0.78319,                0.29011,                0.92758,               0.003961,               0.003961,               0.003961
                    124,                 0.7091,                0.34964,                0.89269,                0.99462,                0.99244,                0.99425,                0.81917,                0.78902,                0.28721,                0.92952,              0.0039115,              0.0039115,              0.0039115
                    125,                0.69931,                0.35591,                0.89274,                0.99447,                0.99338,                0.99453,                0.81482,                0.79127,                0.28567,                0.93119,               0.003862,               0.003862,               0.003862
                    126,                0.70579,                0.35115,                0.89207,                0.99463,                 0.9947,                0.99445,                0.81785,                0.78402,                0.28639,                0.92799,              0.0038125,              0.0038125,              0.0038125
                    127,                 0.7021,                 0.3523,                0.88775,                0.99579,                0.99468,                0.99492,                0.81914,                0.77905,                0.28484,                0.92561,               0.003763,               0.003763,               0.003763
                    128,                0.69195,                0.34355,                0.89192,                0.99459,                0.99267,                0.99472,                0.81521,                 0.7862,                 0.2866,                0.92993,              0.0037135,              0.0037135,              0.0037135
                    129,                0.69476,                0.34453,                0.88871,                0.99268,                0.99441,                 0.9948,                0.81975,                0.78522,                0.28765,                0.92648,               0.003664,               0.003664,               0.003664
                    130,                0.68933,                 0.3477,                0.88724,                0.99364,                 0.9961,                0.99476,                0.82606,                0.78325,                0.28514,                0.92668,              0.0036145,              0.0036145,              0.0036145
                    131,                0.68841,                0.34374,                0.88421,                0.99596,                0.99622,                0.99489,                0.82044,                0.78921,                0.28432,                0.92765,               0.003565,               0.003565,               0.003565
                    132,                0.68646,                0.34553,                 0.8846,                0.99576,                0.99244,                0.99476,                0.81622,                0.78905,                 0.2879,                0.92746,              0.0035155,              0.0035155,              0.0035155
                    133,                0.69315,                0.34183,                0.88913,                0.99216,                0.99496,                0.99487,                0.81739,                0.79151,                0.28761,                0.93047,               0.003466,               0.003466,               0.003466
                    134,                 0.6957,                0.34864,                0.88915,                0.99719,                0.99345,                0.99494,                0.81947,                0.77923,                0.28193,                0.92417,              0.0034165,              0.0034165,              0.0034165
                    135,                0.68367,                0.34009,                0.88875,                0.99703,                0.99167,                0.99495,                0.81887,                0.79102,                0.28517,                0.92711,               0.003367,               0.003367,               0.003367
                    136,                0.68278,                0.34033,                0.88264,                0.99575,                 0.9937,                0.99487,                0.82393,                0.78407,                0.28076,                0.92613,              0.0033175,              0.0033175,              0.0033175
                    137,                0.67462,                0.33558,                 0.8841,                0.99417,                0.99496,                 0.9948,                0.81923,                0.78853,                0.28124,                0.92765,               0.003268,               0.003268,               0.003268
                    138,                0.68769,                0.34199,                0.88777,                0.99443,                0.99476,                 0.9945,                0.82047,                0.78674,                0.28191,                0.92844,              0.0032185,              0.0032185,              0.0032185
                    139,                0.67653,                0.33689,                0.87967,                0.99585,                0.99405,                0.99464,                0.82049,                 0.7877,                0.28099,                0.93017,               0.003169,               0.003169,               0.003169
                    140,                0.67426,                0.33707,                0.88291,                0.99349,                0.99584,                0.99448,                0.81819,                0.78046,                0.27916,                0.92731,              0.0031195,              0.0031195,              0.0031195
                    141,                0.66606,                0.32997,                0.87909,                0.99416,                 0.9937,                0.99418,                0.82009,                0.77644,                0.28232,                0.92756,                0.00307,                0.00307,                0.00307
                    142,                0.66574,                 0.3322,                0.88074,                0.99467,                 0.9937,                0.99444,                0.82179,                0.78037,                0.28172,                0.92536,              0.0030205,              0.0030205,              0.0030205
                    143,                0.66934,                0.33073,                0.88225,                0.99456,                 0.9937,                0.99447,                0.82141,                0.78403,                0.28164,                0.92505,               0.002971,               0.002971,               0.002971
                    144,                0.65632,                0.32612,                 0.8753,                0.99465,                 0.9937,                 0.9946,                0.82334,                0.78348,                0.28133,                0.92768,              0.0029215,              0.0029215,              0.0029215
                    145,                0.66188,                0.32521,                 0.8795,                0.99595,                 0.9934,                0.99477,                0.82007,                0.78182,                0.28042,                0.92674,               0.002872,               0.002872,               0.002872
                    146,                0.66131,                0.32754,                0.87889,                0.99462,                0.99477,                0.99482,                 0.8183,                0.78464,                0.27968,                0.92914,              0.0028225,              0.0028225,              0.0028225
                    147,                0.66359,                0.33021,                0.87843,                0.99619,                0.99496,                0.99484,                0.82234,                0.77579,                0.27585,                0.92567,               0.002773,               0.002773,               0.002773
                    148,                0.65377,                0.32404,                 0.8778,                0.99728,                0.99496,                0.99477,                 0.8236,                0.77698,                0.27702,                0.92662,              0.0027235,              0.0027235,              0.0027235
                    149,                0.66201,                0.32902,                 0.8801,                 0.9959,                0.99496,                0.99439,                0.81837,                0.78968,                0.28013,                0.92926,               0.002674,               0.002674,               0.002674
                    150,                0.65744,                0.32552,                0.88032,                0.99685,                 0.9936,                0.99362,                0.81544,                0.79398,                0.28231,                0.93059,              0.0026245,              0.0026245,              0.0026245
                    151,                0.65378,                0.32492,                0.87674,                0.99708,                0.99496,                0.99419,                0.82104,                0.78879,                0.27475,                0.92728,               0.002575,               0.002575,               0.002575
                    152,                0.64225,                0.31838,                0.87241,                0.99545,                 0.9937,                0.99382,                0.81762,                0.79156,                0.27598,                0.92838,              0.0025255,              0.0025255,              0.0025255
                    153,                 0.6422,                0.32199,                0.87378,                 0.9969,                0.99496,                0.99452,                0.81758,                 0.7846,                0.27468,                0.92809,               0.002476,               0.002476,               0.002476
                    154,                0.64821,                0.32004,                0.87638,                0.99717,                0.99465,                0.99494,                0.81986,                0.78149,                0.27489,                0.92591,              0.0024265,              0.0024265,              0.0024265
                    155,                0.63084,                0.31265,                0.86858,                0.99654,                0.99136,                0.99487,                0.82018,                0.78344,                0.27634,                0.92633,               0.002377,               0.002377,               0.002377
                    156,                0.64373,                0.31918,                0.87466,                0.99819,                0.99496,                0.99489,                0.82009,                0.78419,                0.27515,                0.92797,              0.0023275,              0.0023275,              0.0023275
                    157,                0.63492,                0.31616,                0.87188,                0.99664,                0.99496,                0.99496,                0.82378,                0.78225,                0.27447,                0.92708,               0.002278,               0.002278,               0.002278
