                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    142,                0.52376,                0.27261,                0.85439,                0.99308,                0.99235,                0.99329,                 0.8833,                0.57064,                 0.2163,                0.86591,               0.005347,               0.005347,               0.005347
                    143,                0.51757,                0.26595,                0.85154,                0.99331,                0.99235,                0.99318,                0.88329,                0.57011,                0.21549,                0.86608,               0.005314,               0.005314,               0.005314
                    144,                0.52002,                0.27155,                0.85283,                 0.9934,                0.99235,                0.99321,                0.88452,                0.56999,                0.21607,                0.86604,               0.005281,               0.005281,               0.005281
                    145,                0.52057,                0.26948,                0.85395,                0.99305,                0.99235,                0.99312,                0.88453,                0.57019,                0.21597,                0.86618,               0.005248,               0.005248,               0.005248
                    146,                0.51112,                0.26783,                0.85104,                0.99087,                0.99464,                0.99282,                0.88495,                 0.5701,                0.21666,                0.86624,               0.005215,               0.005215,               0.005215
                    147,                0.52068,                0.27147,                0.85444,                0.99093,                0.99465,                0.99267,                0.88464,                0.57021,                0.21565,                0.86641,               0.005182,               0.005182,               0.005182
                    148,                0.51139,                0.27104,                0.84971,                0.99096,                0.99465,                 0.9927,                0.88408,                0.57009,                0.21599,                0.86641,               0.005149,               0.005149,               0.005149
                    149,                0.51056,                0.26723,                0.84851,                0.99102,                0.99473,                0.99279,                0.88395,                0.56996,                0.21626,                0.86645,               0.005116,               0.005116,               0.005116
                    150,                0.50992,                0.26933,                0.84966,                0.99106,                0.99478,                0.99272,                 0.8843,                0.56994,                0.21662,                0.86656,               0.005083,               0.005083,               0.005083
                    151,                0.50732,                0.26805,                0.84926,                0.99106,                0.99477,                0.99281,                0.88288,                0.57032,                0.21647,                0.86696,                0.00505,                0.00505,                0.00505
                    152,                0.50879,                0.26638,                0.85054,                0.99106,                0.99479,                0.99276,                0.88305,                0.57037,                0.21683,                0.86705,               0.005017,               0.005017,               0.005017
                    153,                0.51343,                0.27003,                0.84732,                0.99103,                0.99483,                0.99276,                0.88357,                0.57047,                0.21616,                0.86701,               0.004984,               0.004984,               0.004984
                    154,                0.50521,                0.26513,                0.84717,                0.99099,                0.99481,                0.99277,                0.88392,                0.57031,                 0.2164,                0.86689,               0.004951,               0.004951,               0.004951
                    155,                0.50377,                0.26562,                0.84516,                0.99098,                0.99482,                0.99276,                0.88346,                0.57004,                0.21628,                0.86693,               0.004918,               0.004918,               0.004918
                    156,                0.50797,                0.26681,                0.84883,                0.99097,                0.99483,                0.99287,                0.88343,                0.56987,                0.21582,                 0.8669,               0.004885,               0.004885,               0.004885
                    157,                0.49699,                0.26063,                0.84321,                0.99096,                 0.9948,                0.99283,                0.88447,                0.56984,                 0.2161,                0.86689,               0.004852,               0.004852,               0.004852
                    158,                0.50057,                 0.2617,                0.84557,                0.99169,                0.99456,                0.99285,                0.88424,                0.57016,                0.21575,                0.86699,               0.004819,               0.004819,               0.004819
                    159,                0.50132,                0.26289,                0.84744,                0.99157,                0.99412,                0.99308,                0.88412,                0.56986,                0.21595,                0.86696,               0.004786,               0.004786,               0.004786
                    160,                0.49909,                 0.2612,                0.84649,                0.99127,                0.99359,                0.99327,                0.88405,                0.56964,                0.21594,                0.86677,               0.004753,               0.004753,               0.004753
                    161,                0.49459,                0.26145,                0.84508,                 0.9912,                0.99357,                0.99305,                0.88463,                0.56955,                0.21555,                0.86687,                0.00472,                0.00472,                0.00472
